#Q**2	X	FL	tot
1.5	2.79E-05	0.088	0.223995535669799
2	4.27E-05	0.127	0.094514549144563
2.5	5.88E-05	0.156	0.077032460690283
3.5	8.77E-05	0.227	0.066648330811807
5	0.000129	0.314	0.074390859653589
6.5	0.000169	0.264	0.079956238030563
8.5	0.000224	0.216	0.084083292038312
12	0.000319	0.324	0.072201108024739
15	0.000402	0.266	0.071372263520222
20	0.00054	0.327	0.072456883730947
25	0.000687	0.282	0.077012985917961
35	0.000958	0.213	0.079410326784367
45	0.00121	0.303	0.085936022714575
60	0.00157	0.315	0.090205321350794
90	0.00243	0.125	0.09532051195834
120	0.00303	0.198	0.098417478122537
150	0.00402	0.264	0.088232647019117
200	0.00541	0.15	0.098086696345631
250	0.00736	0.196	0.102151847756171
346	0.00986	0.039	0.087011493493676
636	0.0184	0.152	0.082346827504161
